BorrowerAPR,CreditScoreRangeUpper,CurrentCreditLines,TotalInquiries,BankcardUtilization,DebtToIncomeRatio
.352440,619,8,10.000000,.860000,.330000
.141470,739,12,5.000000,.330000,.250000
.357970,779,1,1.000000,.000000,
.198590,739,14,1.000000,.470000,.250000
.237180,719,11,.000000,.250000,.290000
.200810,739,5,2.000000,.800000,.110000
.214340,719,5,4.000000,.270000,.140000
.145870,799,15,6.000000,.170000,.110000
.252790,679,15,2.000000,.630000,.390000
.357970,679,7,4.000000,.950000,.190000
.169690,679,7,.000000,.650000,.110000
.214340,699,3,1.000000,.390000,.120000
.346210,659,3,9.000000,.550000,
.170610,799,26,3.000000,.130000,.350000
.215660,739,12,1.000000,.690000,.310000
.357970,759,9,3.000000,.090000,
.184780,819,26,5.000000,.230000,.290000
.067260,799,9,3.000000,.070000,.110000
.357970,699,30,7.000000,.580000,.560000
.164990,699,6,6.000000,.490000,.200000
.137990,739,14,5.000000,.320000,.160000
.204620,739,9,.000000,.770000,.180000
.305320,699,18,2.000000,.810000,.240000
.067260,779,6,6.000000,.110000,.150000
.274670,639,11,2.000000,.890000,
.153240,779,8,4.000000,.110000,.450000
.242520,719,11,2.000000,.360000,.400000
.247580,679,8,2.000000,.400000,
.233180,739,4,2.000000,.130000,.180000
.257810,699,16,7.000000,.670000,.300000
.231210,739,11,9.000000,.570000,.190000
.133010,759,11,1.000000,.840000,.220000
.253590,659,7,1.000000,.840000,.160000
.117660,739,14,3.000000,.250000,.120000
.250130,679,10,2.000000,.510000,.320000
.380580,679,9,1.000000,.910000,.420000
.316160,679,15,4.000000,.360000,.310000
.181360,759,9,3.000000,.390000,.250000
.134130,779,19,5.000000,.150000,.110000
.182750,719,15,2.000000,.920000,.270000
.210250,779,18,8.000000,.630000,.300000
.193640,759,10,5.000000,.490000,.210000
.102450,739,15,2.000000,.870000,.330000
.173220,759,8,2.000000,.640000,.180000
.272850,719,16,10.000000,.850000,.340000
.158330,739,13,14.000000,.600000,.220000
.152230,679,7,6.000000,.410000,.090000
.245890,719,6,5.000000,.860000,.160000
.357970,679,12,8.000000,.690000,.200000
.211150,719,11,.000000,.620000,.440000
.203580,739,6,2.000000,.400000,.140000
.158440,699,9,5.000000,.270000,.220000
.182750,759,7,1.000000,.880000,.370000
.317900,759,16,4.000000,.660000,.130000
.301310,679,12,1.000000,.720000,.380000
.208080,679,5,7.000000,.620000,.090000
.357970,679,3,3.000000,.990000,.100000
.316160,699,4,10.000000,.540000,
.335530,699,9,1.000000,.980000,.240000
.125280,719,24,8.000000,.750000,.150000
.227120,759,17,7.000000,.440000,.490000
.313080,659,5,1.000000,.760000,.060000
.155490,759,12,5.000000,.920000,.050000
.173590,679,19,.000000,.970000,.210000
.129160,759,22,1.000000,.480000,.190000
.163040,699,5,.000000,.960000,.230000
.189130,699,19,7.000000,.530000,.380000
.126910,719,17,5.000000,.720000,.250000
.277250,659,11,11.000000,.310000,.300000
.196450,639,16,6.000000,.460000,.150000
.090650,779,5,2.000000,.040000,.160000
.357970,719,10,11.000000,.970000,.200000
.248560,679,8,3.000000,.440000,.210000
.263330,679,4,3.000000,.140000,.070000
.302850,659,11,2.000000,.930000,.080000
.274620,719,5,5.000000,.510000,.150000
.250130,699,8,3.000000,.570000,.320000
.153240,679,12,4.000000,.440000,.280000
.164990,759,14,4.000000,.460000,.170000
.157840,739,6,2.000000,.410000,.110000
.305320,719,8,2.000000,.390000,.310000
.356430,679,8,3.000000,.890000,.300000
.143480,719,8,2.000000,.270000,.410000
.173590,739,6,6.000000,.310000,.130000
.192450,699,18,2.000000,.850000,.380000
.221350,679,6,1.000000,.730000,.110000
.234380,659,2,2.000000,.920000,.090000
.357970,759,3,.000000,.240000,.310000
.301110,839,12,2.000000,.180000,
.173590,699,5,3.000000,.940000,.060000
.182220,679,11,1.000000,.970000,.270000
.231210,699,6,7.000000,.880000,.170000
.276370,659,7,5.000000,.980000,.330000
.358580,699,9,8.000000,.060000,.110000
.176010,679,5,2.000000,.770000,.150000
.163240,679,10,3.000000,.800000,.280000
.265280,659,6,9.000000,.800000,.040000
.191080,699,9,9.000000,.440000,.120000
.332860,679,7,2.000000,.730000,.220000
.285740,679,15,5.000000,.910000,.210000
.187250,679,21,9.000000,.400000,.270000
.220260,699,2,.000000,.000000,.050000
.223010,719,14,.000000,.760000,.350000
.198590,719,5,.000000,.690000,.170000
.116950,819,21,5.000000,.190000,.350000
.124270,779,9,1.000000,.220000,.510000
.308990,679,14,7.000000,.810000,.200000
.233180,739,10,7.000000,.130000,.130000
.305320,739,4,.000000,.710000,.130000
.235400,679,12,1.000000,.910000,.290000
.216990,719,7,3.000000,.950000,.180000
.295100,739,13,2.000000,.920000,.380000
.131380,799,13,.000000,.330000,.260000
.177540,679,6,1.000000,.750000,.300000
.344080,619,7,4.000000,.950000,.540000
.316680,679,10,5.000000,.560000,
.349980,639,8,7.000000,.610000,
.193860,679,6,4.000000,.480000,.410000
.115630,759,10,5.000000,.890000,.220000
.258360,779,8,4.000000,.000000,.370000
.317900,719,8,2.000000,.400000,.250000
.154250,759,44,4.000000,.210000,.300000
.357970,679,9,1.000000,.860000,
.353560,779,6,3.000000,.220000,.750000
.143410,739,13,1.000000,.540000,.170000
.377330,679,5,3.000000,.000000,.240000
.166620,699,5,3.000000,.230000,.140000
.147140,699,17,6.000000,.690000,.270000
.154250,719,6,2.000000,.930000,.170000
.090300,719,20,7.000000,.800000,.130000
.173220,759,9,2.000000,.480000,.230000
.207050,739,12,1.000000,.870000,.360000
.177540,659,16,3.000000,.770000,.220000
.205240,679,7,3.000000,.790000,.230000
.225490,739,36,7.000000,.250000,.460000
.253590,759,8,1.000000,.200000,.220000
.351320,719,5,10.000000,.280000,.300000
.181970,719,17,2.000000,.510000,.350000
.302850,619,7,9.000000,.420000,.170000
.207350,659,7,8.000000,.000000,.320000
.202000,759,15,3.000000,.700000,.220000
.148160,739,24,3.000000,.210000,.200000
.185260,699,7,2.000000,.890000,.120000
.165190,759,12,2.000000,.430000,.310000
.173590,759,13,.000000,.840000,.160000
.299980,719,23,7.000000,.990000,.370000
.229080,679,5,5.000000,.280000,.180000
.357970,699,12,1.000000,.940000,.240000
.357970,699,20,1.000000,1.000000,.280000
.221080,699,7,5.000000,.900000,.140000
.302850,679,14,7.000000,.990000,
.247020,679,9,3.000000,.960000,.270000
.280320,719,13,3.000000,.190000,.260000
.166780,759,19,5.000000,.260000,.130000
.357970,759,17,4.000000,.720000,.410000
.163240,739,17,2.000000,.890000,
.150160,759,10,1.000000,.320000,
.195460,679,4,10.000000,.430000,.140000
.135240,779,14,2.000000,.750000,.100000
.221400,699,10,4.000000,.740000,.260000
.205930,679,5,6.000000,.920000,.180000
.180200,759,9,5.000000,.130000,.260000
.238720,719,7,5.000000,.960000,.100000
.127820,819,14,4.000000,.060000,.340000
.213720,699,16,5.000000,.200000,.180000
.250130,699,8,1.000000,.790000,.190000
.131380,779,6,.000000,.020000,.110000
.347520,699,4,2.000000,.640000,.330000
.167320,699,8,4.000000,.210000,.160000
.170900,699,7,4.000000,.910000,.250000
.285950,679,17,4.000000,.170000,.380000
.374530,619,20,1.000000,1.020000,.520000
.299980,639,9,4.000000,.910000,.340000
.142430,739,5,4.000000,.470000,.210000
.199070,699,10,2.000000,.780000,.400000
.173590,719,7,1.000000,.430000,.160000
.356430,659,11,5.000000,.840000,.190000
.187250,739,8,2.000000,.880000,.170000
.200530,679,18,11.000000,.830000,.340000
.294140,719,13,1.000000,.960000,.440000
.313440,659,2,2.000000,.960000,.040000
.248820,679,8,3.000000,.000000,.160000
.357970,719,14,2.000000,.960000,.380000
.374530,639,11,2.000000,.960000,.320000
.182140,679,13,2.000000,.690000,.240000
.227120,719,11,5.000000,.560000,.360000
.223620,679,19,8.000000,.430000,.370000
.171920,739,19,3.000000,.420000,.190000
.335530,699,6,4.000000,.470000,
.323270,719,22,3.000000,.890000,
.167320,679,8,6.000000,.450000,.220000
.286750,759,18,9.000000,.490000,.330000
.244750,699,2,.000000,.650000,.180000
.356430,719,6,7.000000,.030000,.220000
.222420,719,9,4.000000,.990000,.150000
.173520,719,11,3.000000,.560000,.290000
.065890,839,7,1.000000,.100000,.110000
.202600,739,7,5.000000,.980000,.220000
.115480,699,9,2.000000,.200000,.110000
.288480,719,6,.000000,.890000,.170000
.289740,739,8,3.000000,.970000,.290000
.120200,719,10,2.000000,.980000,.260000
.214740,719,4,1.000000,.150000,.080000
.336980,759,2,.000000,.200000,.060000
.283860,719,25,4.000000,.650000,.390000
.252590,679,8,2.000000,.700000,.090000
.176010,699,21,8.000000,.750000,
.325380,699,8,6.000000,.750000,.420000
.178390,699,11,2.000000,.910000,.270000
.131190,839,12,11.000000,.140000,.100000
.143280,819,20,2.000000,.010000,.220000
.170610,759,12,1.000000,.580000,.260000
.097360,819,6,.000000,.010000,.190000
.112960,739,6,2.000000,.520000,.140000
.156290,739,15,1.000000,.970000,.170000
.084960,779,8,2.000000,.270000,.260000
.136450,819,10,8.000000,.010000,.120000
.271190,799,11,9.000000,.560000,.150000
.137990,699,12,2.000000,.810000,.240000
.143480,739,19,5.000000,.420000,.210000
.178390,699,16,5.000000,.510000,.320000
.198590,699,11,2.000000,.860000,.340000
.195010,659,2,6.000000,.470000,.140000
.181360,759,10,3.000000,.660000,.120000
.158330,719,8,2.000000,.850000,.130000
.199880,699,8,3.000000,.570000,.230000
.142060,699,8,3.000000,.580000,
.189650,719,9,6.000000,.370000,.230000
.310320,679,10,6.000000,.940000,.190000
.204360,719,7,4.000000,.450000,.450000
.357970,679,6,1.000000,.930000,.240000
.242460,739,9,3.000000,.760000,.220000
.069980,799,11,2.000000,.530000,.280000
.215660,699,12,5.000000,.730000,.320000
.222830,679,21,2.000000,.860000,.230000
.161470,779,12,1.000000,.270000,.650000
.274620,759,6,6.000000,.540000,.320000
.186330,679,11,1.000000,.860000,.340000
.357970,699,7,7.000000,.820000,.320000
.356430,659,11,4.000000,.920000,.370000
.210250,719,13,5.000000,.610000,.270000
.356430,699,1,2.000000,.820000,
.202680,719,20,.000000,.790000,.430000
.126910,739,14,6.000000,.320000,.220000
.189900,719,14,8.000000,.750000,.290000
.186330,679,20,3.000000,.920000,.320000
.208080,679,14,2.000000,.870000,.250000
.301820,659,3,6.000000,.600000,.080000
.198590,659,5,3.000000,.980000,.120000
.251020,719,7,4.000000,.620000,.150000
.221350,699,2,1.000000,.280000,.090000
.212900,679,9,1.000000,.950000,.270000
.200810,719,16,10.000000,.100000,.450000
.283390,619,9,7.000000,.990000,.200000
.192360,719,15,.000000,.630000,
.221080,739,21,1.000000,.330000,.520000
.345880,659,13,3.000000,.730000,.330000
.228120,679,12,1.000000,.240000,.320000
.124000,759,10,5.000000,.460000,.060000
.313750,699,12,7.000000,.200000,.080000
.098370,739,10,5.000000,.580000,.120000
.097360,759,15,6.000000,.140000,.170000
.181970,719,12,.000000,.860000,.210000
.359300,699,3,3.000000,.000000,.120000
.176850,759,14,5.000000,.130000,.280000
.112960,739,16,5.000000,.420000,.450000
.231310,659,6,4.000000,.760000,.370000
.216990,739,12,3.000000,.660000,.350000
.254710,719,15,11.000000,.890000,.210000
.154250,759,7,4.000000,.400000,.180000
.116950,779,17,2.000000,.200000,.330000
.280780,679,8,3.000000,.720000,.210000
.202000,759,16,4.000000,.290000,.730000
.203470,699,12,3.000000,.870000,.330000
.295100,759,12,.000000,.140000,
.317900,639,8,8.000000,.900000,.150000
.147140,719,12,6.000000,.620000,.380000
.186710,679,9,2.000000,.880000,.280000
.132270,759,14,3.000000,.430000,.280000
.356430,739,20,1.000000,.860000,.630000
.266810,659,18,1.000000,.840000,.400000
.196300,719,20,3.000000,.330000,.380000
.219450,739,13,6.000000,.700000,.380000
.164990,799,3,1.000000,.070000,.260000
.324360,699,7,5.000000,.940000,.190000
.358380,719,8,3.000000,.970000,.560000
.310530,679,3,.000000,.710000,.050000
.137990,759,14,10.000000,.240000,.210000
.125280,779,10,25.000000,.360000,.130000
.142430,699,14,.000000,.880000,.290000
.272850,679,3,7.000000,.930000,.030000
.189130,679,10,3.000000,.730000,.170000
.158330,699,11,2.000000,.780000,.340000
.227420,679,9,9.000000,.430000,.330000
.155380,799,4,1.000000,.050000,.070000
.139830,819,7,.000000,.450000,.260000
.143410,799,13,2.000000,.510000,.220000
.202170,719,8,.000000,.510000,.480000
.120160,759,7,8.000000,.330000,.140000
.153240,759,27,11.000000,.300000,.160000
.345770,719,12,9.000000,.700000,.160000
.198590,739,12,2.000000,.780000,.290000
.116000,819,11,5.000000,.480000,.140000
.293410,699,10,4.000000,.880000,.160000
.192360,779,13,4.000000,.660000,.250000
.203980,699,16,6.000000,.690000,.290000
.272850,819,9,4.000000,.000000,
.170610,719,6,5.000000,.980000,.100000
.124610,779,4,.000000,.100000,.110000
.287040,639,11,6.000000,.680000,.140000
.155490,779,13,4.000000,.340000,.210000
.293630,659,13,5.000000,.740000,.220000
.177540,679,9,5.000000,.560000,.260000
.308990,679,10,2.000000,.730000,.200000
.273220,659,21,7.000000,.460000,.150000
.374530,679,5,9.000000,.000000,
.074390,759,10,5.000000,.400000,.250000
.200530,719,15,.000000,.770000,.230000
.084960,719,14,1.000000,.390000,.240000
.357970,719,6,.000000,.880000,
.295370,699,15,.000000,.950000,.160000
.344080,679,12,6.000000,.990000,.060000
.202680,679,9,13.000000,.600000,.150000
.242520,779,16,3.000000,.830000,.270000
.079900,799,8,1.000000,.510000,.020000
.187330,699,18,.000000,.800000,.320000
.247580,739,11,.000000,.870000,.250000
.181830,699,10,7.000000,.410000,.330000
.125280,719,16,6.000000,.680000,.120000
.347310,639,24,6.000000,.940000,
.179690,739,6,.000000,.920000,.130000
.221400,759,12,1.000000,.540000,.350000
.406790,699,9,7.000000,.740000,
.215660,759,17,8.000000,.400000,.320000
.268770,679,12,2.000000,.370000,.380000
.204620,679,1,2.000000,.730000,.010000
.219450,719,5,5.000000,.730000,.070000
.240110,719,12,5.000000,.830000,.550000
.266810,719,17,2.000000,.920000,.550000
.200400,679,13,.000000,.810000,
.178390,739,11,2.000000,.960000,.350000
.242460,739,3,7.000000,.060000,
.357970,659,8,7.000000,.440000,.220000
.167320,739,9,1.000000,.610000,.430000
.126910,759,4,1.000000,.940000,.030000
.228750,659,8,3.000000,.920000,.100000
.124100,739,16,2.000000,.560000,.150000
.357970,679,9,.000000,.970000,.400000
.316160,679,10,10.000000,.610000,.120000
.147660,779,22,3.000000,.570000,.520000
.357970,679,0,8.000000,.000000,.030000
.221080,699,14,2.000000,.550000,.360000
.351320,739,16,7.000000,.230000,.210000
.305320,659,9,.000000,.690000,.140000
.210250,779,10,2.000000,.340000,.420000
.224150,739,8,1.000000,.590000,
.337090,659,7,2.000000,.640000,.130000
.205930,719,13,5.000000,.530000,.220000
.358430,699,12,3.000000,.990000,.260000
.264780,719,6,.000000,.770000,
.112960,739,6,3.000000,.490000,.310000
.099880,799,8,6.000000,.860000,.070000
.233180,659,7,7.000000,.720000,.130000
.305320,659,15,6.000000,.930000,.220000
.283860,699,7,1.000000,.950000,.310000
.295100,679,17,4.000000,.830000,.380000
.356430,759,2,3.000000,.000000,
.352440,619,5,8.000000,.540000,.240000
.293630,659,6,3.000000,.700000,.200000
.308990,679,10,2.000000,.920000,.300000
.248560,659,8,6.000000,.660000,.230000
.353560,699,16,.000000,.910000,.930000
.203980,699,10,2.000000,.310000,.270000
.283860,679,10,19.000000,.720000,.210000
.122740,739,13,1.000000,.930000,.260000
.140390,679,19,9.000000,.920000,.170000
.305320,679,3,1.000000,.000000,.130000
.117600,819,6,1.000000,.040000,.060000
.203470,719,4,6.000000,.950000,.330000
.153240,699,15,1.000000,.370000,.210000
.295370,699,13,.000000,.630000,.430000
.189650,719,8,7.000000,.300000,.220000
.083250,799,12,10.000000,.150000,.280000
.325860,719,31,2.000000,.940000,.360000
.136970,759,18,1.000000,.670000,.400000
.293710,699,21,2.000000,.930000,.340000
.357970,679,10,6.000000,.610000,.180000
.261490,699,7,4.000000,.520000,
.128050,739,10,3.000000,.380000,.220000
.193640,759,15,1.000000,.580000,.250000
.240360,739,7,5.000000,.420000,.500000
.317900,619,18,7.000000,.840000,.310000
.224660,659,5,3.000000,.970000,.190000
.293410,739,12,4.000000,.860000,.510000
.233830,799,10,.000000,.630000,.360000
.295100,719,13,.000000,.580000,
.126910,719,8,2.000000,.960000,.160000
.330970,699,15,5.000000,.890000,.220000
.213420,679,12,5.000000,.450000,.400000
.136970,819,10,5.000000,.280000,.280000
.090300,739,20,2.000000,.010000,.120000
.318480,699,17,4.000000,.370000,.500000
.213420,679,16,3.000000,.530000,.070000
.210960,679,14,8.000000,.980000,.290000
.357970,699,0,3.000000,.000000,.060000
.077900,859,11,10.000000,.050000,.090000
.164990,759,11,2.000000,.520000,.150000
.160560,739,4,1.000000,.130000,.170000
.147510,699,8,.000000,.360000,.240000
.307480,739,9,5.000000,.640000,.200000
.088220,819,9,2.000000,.000000,.280000
.332860,619,14,7.000000,.770000,.290000
.247640,719,9,4.000000,1.070000,.250000
.266810,639,2,5.000000,.000000,.160000
.156290,759,12,4.000000,.450000,.180000
.242050,679,8,5.000000,.860000,.190000
.125280,759,5,7.000000,.670000,.130000
.161470,759,13,1.000000,.330000,.220000
.098260,879,9,2.000000,.030000,.110000
.236560,679,7,5.000000,.500000,.190000
.178490,779,12,.000000,.500000,.200000
.357970,699,8,2.000000,.600000,
.180200,759,13,3.000000,.120000,.380000
.272850,719,17,1.000000,.420000,.560000
.249830,699,14,5.000000,.560000,.220000
.257810,679,25,8.000000,.790000,.340000
.200400,719,7,2.000000,.840000,.270000
.173590,739,5,3.000000,.810000,.170000
.205930,739,16,7.000000,.700000,.210000
.159360,759,17,2.000000,.540000,.280000
.348870,679,14,6.000000,.620000,.260000
.097360,779,14,3.000000,.250000,.100000
.218220,759,11,3.000000,.490000,.600000
.207050,679,5,2.000000,.940000,.370000
.335530,679,4,5.000000,.870000,.070000
.108460,819,11,4.000000,.280000,.120000
.263330,699,19,7.000000,.900000,.300000
.272850,699,13,2.000000,.850000,.280000
.135240,759,11,7.000000,.530000,.200000
.294640,739,11,1.000000,.600000,.470000
.170900,719,12,1.000000,.790000,.390000
.266810,619,12,5.000000,.870000,.070000
.357970,679,11,8.000000,.810000,.220000
.152230,719,10,1.000000,.890000,.250000
.274620,759,4,1.000000,.460000,.430000
.072890,859,17,4.000000,.180000,.050000
.294140,699,10,1.000000,.870000,.330000
.211660,739,8,3.000000,.930000,.540000
.302850,779,19,4.000000,.560000,.210000
.257810,679,16,14.000000,.730000,.220000
.103750,759,7,4.000000,.110000,.170000
.189650,699,14,4.000000,.850000,.310000
.357970,699,7,11.000000,.130000,.150000
.186330,719,12,5.000000,.430000,.360000
.112960,759,13,1.000000,.120000,.440000
.192210,659,8,.000000,.420000,.150000
.191080,719,5,5.000000,.930000,.170000
.115630,739,14,3.000000,.370000,.250000
.252790,679,18,9.000000,.750000,.310000
.157840,799,11,3.000000,.540000,.250000
.387230,639,11,16.000000,.780000,.330000
.295670,679,11,8.000000,.190000,.320000
.176110,719,13,8.000000,.250000,
.310530,699,17,3.000000,.810000,.220000
.175220,739,6,2.000000,.710000,.120000
.122740,739,16,2.000000,.580000,.140000
.184790,739,9,3.000000,.770000,.300000
.302340,679,14,6.000000,.900000,.150000
.124000,759,10,4.000000,.190000,.230000
.169690,699,14,10.000000,.960000,.280000
.173590,659,1,1.000000,.390000,.020000
.121060,759,6,1.000000,.070000,.220000
.164820,719,12,3.000000,.600000,.220000
.231700,699,24,3.000000,.930000,.430000
.239390,659,7,1.000000,.780000,.080000
.125280,779,4,1.000000,.010000,.160000
.161750,759,17,4.000000,.150000,.200000
.330400,739,4,1.000000,.900000,.050000
.214740,739,19,5.000000,.280000,.380000
.083250,779,12,1.000000,.120000,.190000
.188520,739,7,.000000,.890000,.250000
.154250,719,14,3.000000,.590000,.230000
.163280,739,8,3.000000,.850000,.380000
.193640,779,7,5.000000,.940000,.480000
.144940,799,19,2.000000,.360000,.360000
.269170,659,7,4.000000,.940000,.450000
.357970,679,16,3.000000,.870000,
.171920,779,25,2.000000,.680000,.340000
.318480,639,13,11.000000,.600000,.220000
.254860,699,8,5.000000,.810000,
.335530,659,5,4.000000,.320000,.220000
.294860,659,6,5.000000,.640000,.080000
.227420,719,14,3.000000,.820000,.300000
.227090,659,3,6.000000,.050000,.150000
.143280,779,9,1.000000,.470000,.200000
.154250,739,16,5.000000,.570000,.160000
.357970,679,9,6.000000,.710000,
.144090,739,13,.000000,.670000,.250000
.233180,699,2,1.000000,.320000,.070000
.200400,699,6,1.000000,.840000,.190000
.149650,759,16,3.000000,.110000,.400000
.247580,699,6,10.000000,.330000,.180000
.265140,659,5,4.000000,.450000,.180000
.272850,679,14,25.000000,.000000,.170000
.323930,779,17,6.000000,.570000,.380000
.181730,759,3,.000000,.430000,.080000
.192360,739,6,.000000,.550000,.260000
.374530,699,14,11.000000,.980000,.400000
.272460,699,17,.000000,.810000,.370000
.143580,779,7,2.000000,.380000,.300000
.363460,639,17,27.000000,.770000,.120000
.292540,639,12,1.000000,.910000,.330000
.242520,699,11,2.000000,.370000,.350000
.238980,679,16,3.000000,.770000,.280000
.225490,659,4,1.000000,.860000,.140000
.228720,739,11,.000000,1.260000,.080000
.200530,679,25,9.000000,.790000,.560000
.317900,759,36,2.000000,.800000,.270000
.353560,699,23,2.000000,.910000,.910000
.181970,719,10,3.000000,.990000,.310000
.234620,739,5,3.000000,.490000,.040000
.196300,699,13,5.000000,.910000,.280000
.291670,659,2,6.000000,.430000,.110000
.074390,779,14,2.000000,.480000,.250000
.157830,739,11,2.000000,.690000,.240000
.176010,699,18,10.000000,.970000,.250000
